type	tweets 
pos	بيض مجمش أكلة شعبية أعدت لأجلكم إفطارك بطعم أصيل فروعنا الرياض الحزم غبيرة العزيزية الشفاء
pos	مقدمة أداء بلاك بينك كوتشيلا ابريل
pos	رز أحمر ودجاج مظبي أجمل بداية لاسبوعك الناضج لك
pos	فائدة حكم الصلاة النبي لشيخ عبدالعزيز الطريفي كتاب التفسير والبيان لأحكام القرآن
pos	الحمد مبروك يازعماء القادم أجمل شاء اله
pos	حمد السلامة
pos	ربي يسعدك
pos	كلام إعلامي يظهر قناة حكوميه الدعوه سايبه يا حبيبي قبلها اساء لحمداله إلتزام بالحياد احترام
pos	سحب مبلغ مالي لمتابعي كشكول المطلوب شي بس رتويت السحب الرتويت لحظة مسابقات مسابقات كشكول مسابقه
pos	بمناسبة فوز الهلال سحب مبلغ مالي شروط المسابقة رتويت لتغريدة متابعة السحب الرتوي
pos	جميلة صبآحات الدنيآ فكيف صبآحات الجنة الهم أجعلنا والدينا وأبناؤنا أحبابنا أهل الجنة
pos	الهوى الغلا هب يمك يجيب لي شذا عطرك ونسناسه أغمض وأشوفك طيف وألمك وأقول غلاي وهذه
pos	ياشيخه غيرت الروتين شوي شوفيها منظور
pos	شاءاله يجي كاست عظيم ماتدرين ايش متحمسه
pos	أحبها كثر ماهي تستفز الغمام الاحوال لبيها وفديتها ماكانت تعرف شي الهوى والغرام يدي فالهوى وال
pos	تنفسوا الصباح حبا ورضا فلا شيء أروع قلوب راضية وأصبحت مبتسمة الابتسامة
pos	جرب شكلها آخر شي بتكون دبه وصلعه ودقنها مطعوج وفيها وطرمه وصمخه
pos	برت بالضبط صح لسان صاحب التغريدة يايجيبها زينة البداية يا يفكنا الاخ كيشي همش الشخصيات كلها عشان يلمعها
pos	شكلي لمن اتناقش الناس الاوضاع الحاليه واركب مكنه السياسي المحنك
pos	ابتسم فسبحآن آلآبتسآمة دينآ عبآدة وعليهآ نؤجر الابتسامه السعادة الورد
pos	كذبة جماعه ماحد يمزح معكم
pos	أحيانا وأنت تقرأ سيرته تود أنك الغار آواه السقيفة أظلته تمنى أنك سهم فدائه شجرة
pos	قانون حماية الذوق العام الغرامات تصل ارتكبت المخالفات التالية
pos	كتير قوي يا رجل
pos	معلش جت فيكي
pos	بيت شعر بيت لتكمله كملوه لآ وآ هني العقل محروم جنة الفردوس ربي يعوضه
pos	ودي فرقا طويله لون قلبي حزين وصال مجامله
pos	خله ياخذ راحته
pos	سحب مبلغ مالي لمتابعي كشكول المطلوب شي بس رتويت السحب الرتويت لحظة مسابقات مسابقات كشكول مسابقه
pos	اقرفينا بقا
pos	معصيتي راحتي مين تبي فويس اخوها
pos	شافع امو رسلتو الدكان قالتليو اوعا تاخر قاليها مابتاخر يا حجة إبنعوف بس
pos	الشيء الوحيد وصلوا لعالمية المسيار ترى كانوا يشجعون مدريد النصر
pos	ايه فايدته عرفت تستغله
pos	نترقب مسلسل سخط وخيانة الحلقة ودنا نجوف مسلسل جديد ذبحتا الروتين
pos	نعمة وقلبي مكتفين فيك
pos	دي العيون ال خيالي الشفايف أحي بالي
pos	اجمل شي بالاتحاد اضربهم بالكور الطويله
pos	بطنك الجميلة تستحق الفرح دلعها معصوب عريكة فوال الطائف وجبرها بنفسك فروعنا الرياض الحزم
pos	الاتحاد النصر مباراة نكون نكون خسارة الاتحاد تجعل اموره تعقيدا ويارب الفوز غيره
pos	الخير ألم تر ضرب اله مثلا كلمة طيبة كش
neg	اعترف بتس كانو شوي شوي يجيبو راسي بالزايد
neg	توقعت جات داريا بشوفهم كاملين بس لي لحين احس ناقصهم
neg	الاهلي الهلال اكتب توقعك لنتيجة الهلال والاهلي التاق تحدي اسرع روقان وادخل سحب قيمة ايفون
neg	نعمة المضادات الحيوية تضع قطرةمضاد بنسلين بكتيريا فتنفجر تموت الأخيرة يبدو بكتيريا مقاومة فأخذ
neg	الدودو جايه تكمل
neg	أحبته أقنعنى فات العمر إنتظار
neg	يبدو دجلة اعتادت التهام اجساد ابنائها سبايكر لعبارة سمعته البشر يعطش فيشرب الماء
neg	جالس أذاكر
neg	يكفي استخفاف بالعقل العربي الأمن والمخابرات ألمانيا قادرة عصابة الجريمة
neg	ياليل ترا اكلج كثير مشي
neg	بيدي أرجع ساعتي وين أرجع إليا صدفه واله أبقى أفر بيها ترجع بشر ماعرفه وأنهي العلاقة العرق الدمع
neg	ليه محد يسوي معي
neg	انت ناسي احداث البصرة شهور متغافل نقتلوا متظاهرين بدم بارد منو قتلهم
neg	اله يعين بس
neg	اتفرج اداءاتهم تقريبا كلهم قربوا الفانز بوبي بعيد يأسر مدري ليه
neg	تبي شي يقويك جنسيا فوريفر تعطيك مجموعة تعزيز القدرة آرجي بلس والمالتي ماكا ذي مني لك وهتقوي
neg	مش وقته خالص التعب ده
neg	عرفنا الفلوس تغير النفوس تغير وانت مفلس هيدي قلة أدب
neg	ربنا يرزقگ الحلال
neg	أجمل حل بي الوقوع بك
neg	مقبوله منك
neg	السفير الامريكي كشف المستخبي
neg	اله يسلمك
neg	مناحل ابو سلطان اقسم باله عسل سدر طبيعي مضمون
neg	بنشكر اله انو القلب عضلة مو عظم بضل التعضيل ارحم الكسر
neg	تسألني أحباب الزمان فأجيبك عابر وراء عابر يدوم
neg	الأقل الماي مايعور كثر النار
neg	والي مستلم
neg	لإ تغرگ ضحگتي ؤتقول مرتإح رگز بإلضحگهہ تسمع صؤت الونين
neg	يخاف فليس منا تصبحون خير النصر الاتحاد
neg	الفيحاء مبروك لفيحاء الخروج شبح الهبوط أمانا وأريحية مكنة وهاردلك لنادي اجتهد وصا
neg	لعب فينا البعوض
neg	افتكرت ناس يسونها طلعت وحيده
neg	لعب فينا البعوض
neg	سكتشاتي القديمه
neg	هذي المشكله
neg	لاسف يركض موب بس يمشي
neg	سويتي اسطوره
neg	الوحي تحذير لجماهيرالصفراء سلامتك خير الدنيا ومافيها الطرق المؤدية لملعب مغلقة وغردزه
neg	وانت حزين فرحتك هتكمل امتى
neg	الابتسامه نفسها تغير
neg	ليه ناس تكذب تعطيك أمل زائف
neg	بنشكر اله انو القلب عضلة مو عظم بضل التعضيل ارحم الكسر
neg	نشتاق لمن فقدناهم تغيب لذة شئ بالحياة ابدا سهلا يسمى بالحنين
neg	فهيدان لدعم نجوم اليل لدعم رغم شيء أسمع داخلي صوتا يتلو
neg	بسم اله
neg	تفكيري خصوصا بوجود حمتو جنبه
neg	فعلا جيل مرتاحين نفسيا مو الحين منفس
neg	الواحد احيانا يتعب جمال ابتسامة شخصه المفضل
neg	اله الواحد يذاكر بذا الازعج
neg	حقيقة الخائن باع بلاده لأجل تمرير أجندة الشخصية فساد احمد الفهد
neg	تختبط الشوك تشاك
neg	محاولة قويه ماهي حاول انا بديت اخاف الجائزة
neg	ماتستخدمش معايا التلميحات ابدا ابهرني بجرائتك عشان مابهركش بغبائي
neg	مين سرق افكاري لعبتي معاك وانا بالمتوسط
neg	اشتقت سؤالف وردة قلبي بس ابيهآ تعلم اخطاها
neg	نتظر أخدود الفيض
neg	والعبادات ليست ثقيلة القلوب خربتها الذنوب أثقلتها فاستغفروا
neg	كسرنا رقم تشين بانقتان عندهم مستمع ساعه ميلون
neg	الوتر جنة القلوب سبحانك آلهم بحمدك أشهد لآ إله إلآ أستغفرك أتوب إليك كفاره المجلس
neg	قومآ انفجر بركان غضبنا الأخضر واليابس لذا رجاء الحذر برج الثور
neg	انا مش خايفةقوي قلبك
neg	مؤلم تحادث تحب محتاجا لاهتمامه فتفاجأ باهتمامه بغيرك
neg	طبعا هبد فتي خلاص يخليه بلده احسن
neg	خطبة مكتوبة بعنوان اله يغير بقوم يغيروا بأنفسهم كتبها عبد القادر الجنيد
neg	شعور موجع يكلمك ملجأك الأول وكأنك خياره الأخير
neg	متذكرين بتنتظروا بيان التجمع جدول الاسبوع الجديد اسي عامل محل سياسي داير اشك فيهم الث
neg	شعور قاسي حينما تزور مكانك القديم يعد مكانك حينما ترى أصدقائك القدامى يعودو أصدقائك
neg	عنوان رواية مطلع أغنية أكمل بيتين يايمة قومي طلي شوفي البحر محتاس وانت حايسة المطب
neg	تحريات الحب
neg	تراه يشجع شعب الجزائر والسودان التظاهر الحاكم وعندما تسأله لماذا تطالب بحقوقك ومشاركتك بإدارة بلدك
neg	مكانها
neg	السهل تضع يدك فمك كي لآ تكلم آلصعب تضع يدك قلبك
neg	امطرت باليل وانا نايمه
neg	ماني مثلهم أمر مرور الكرام فارقه عنهم أهز أقصى أركانگ عبق الزهور
neg	بنشكر اله انو القلب عضلة مو عظم بضل التعضيل ارحم الكسر
neg	اراجوز بضحك خلق اله بكي بعيد صحابي عشان ملقاش عينهم شفقة حالي أميرة البيلى
neg	الحيوانات قلوب وتحب الخميس
neg	اتعاطف سعودي رجال الاعمال بالاستعانه بإحانب وسرقوه اقول اله يزيدك يا فضلت الاجنبي اب
neg	انتي لحين تصيحين خلاص يا بابا مافي شي يستاهل دموعك غالية
neg	شماتہ ۈلا انتقام بس الزمن لادار تعجبني سواياهہ جآيه الآيآم
neg	دلوقتي لاقانا هادي ال يعني شوقنا غايب ويبان كلامنا عادي كلام حبايب شوفتوا ويا غيري وطول السل
neg	اقسم باله عسل سدر جبلي طبيعي منحلي ال
neg	باله استغفر اله
neg	كلنا نعرف الدنيا تسوى جناح بعوضه نفوسنا رديه يادكتوره نركض ورا الذات والعمر محسوب
neg	ابدو لك اني اصبحت اهتم لكني اقسم لك اني اكن اهتم البداية
neg	جعلكم ماتصدقون
neg	مازعلت ياكافي
neg	اولاه اتفقنا
neg	آمي احتاج اختبئ رحمك ثانية فقساوة الأيام ارهقت كاهلي وخذلان احدهم أشعل الرأس شيبا
neg	البناخي كلمته
neg	واتحدى نفسي
neg	قلبي لبوه قلب
neg	يارب بهالمطر ماتخليني قيد ذيك الأمنيه
neg	جيتك صدري البعد ضيقه وأقفيت أخاوي ضيقتي ماجيت
neg	ٲليس العيب تحفظ الأغاني وتكر السورة صلاة
neg	هنام امتي يا دماغي
neg	تبوني انام
neg	يسر المجموعة الدعوية تقديم الشكر والامتنان لكل شاركنا برفع تاق التهاون بالصلاه فالصلاة خير معين ال
neg	بيعجبك الصيف وزهقة
neg	القيادة والاعداد تزايد احرسو ثورتكم فنحن نقتلع شجرة جزورها زات موجودة اعتصام القياده العامه
neg	حرفيا يمثلني
neg	اجمل ماشفت
neg	قطر إيه يامعلم إنت عاوز تبوظ عينه هاتله موس موس
neg	تفعل وحيدا غرفتك زمان بقي
neg	سنخرج معا نموت معا
neg	الفيديو يحكي قصة دعاية ولكون العقل يتفاعل ويتحفز بالقص فا تبقى القصة اقوى وسيلة الاطل
neg	الحب إشاعة أطلقها شاعر وحيد حزين بكيفكم يابه
neg	غلطت مرة وقلت
neg	واله فيروز حدا حدا
neg	اشراقة تغيب الشمس وتشرق شمس العالمي وتنور ليل عشاقه لبى النصر لبى عشاقة الاتحاد النصر
neg	وسط الاختبارات
neg	يارب واله مغبونه
neg	متذكرين بتنتظروا بيان التجمع جدول الاسبوع الجديد اسي عامل محل سياسي داير اشك فيهم الث
neg	ابن عوف سلمها ليهو بكل حب ود اخوان اخوان يعني اتساكلو انقلاب بتاع
neg	اله يسمع منك
neg	ريتويت وهوصفك بكلمه
neg	السهل تضع يدك فمك كي لآ تكلم آلصعب تضع يدك قلبك
neg	البان كيك بتاعى بتاع لابوار
neg	اه يعني لشباب زي كوستا الاصلي
neg	تجادلني حب الاهلي حتي لاتخسرني اذهب وحب تريد انا احبه وغدا انا أعشقه والي الابد
neg	ونسمي كدا ونفوت باسبوع كلو امتحانات
neg	الفيفا عارف هالشي غلط مش المفروض يتصرف ويتخذ اجراءه الاتحاد السعودي اقوى هاي الشوشرا
neg	اله يرزقنا
neg	السلام عليكم ورحمة اله وبركاته متابعيني الكرام عهدتكم فيكم الخير والبركة ادعموا اختكم ذكرى الشريف برتوي
neg	مو معقول التوتر اله يعدي اليلة خير
neg	الكونسرت احلى حياتي
neg	ياساتر الهلال لمجهول يا تغريدة كشفها توقيتها غرابة وكيف وإحاطة ومجهول
neg	مخنوق واصبر لحكم ربك فإنك بأعينا إذاي تدري اله يحد
neg	ويا كثرهم آخر فتره
neg	واله الثلاثة اتفه العروس كريهة شو يعني الام ركبت العريس دراما حبتين طلقها عشي تافه الام نشبة لزقة
neg	قعدني النوم
neg	السلام عليكم الهم ذنوبنا ليست إستهانة بحقك جهلا واستخفافا بوعيدك وإنما غلبة الهوى وضعف القوى فنست
neg	الموضوع داه كبير اوي عاوز هندسة فضائيه فني لوغاريتمات خبير مفرقعات لقياس البعد البؤري نقطة
neg	تسريبات الحلقه
neg	يا ساتر ليه طيب
neg	تكونوا أوفياء فلا تعبثوا بقلوب الأنقياء
neg	الواحد خايف الثوره دي شديد يا رب تكمل زي عايزين
neg	أبغى بنت
neg	قآلو ليش طيب گل هآلنآس قلت أيش عندي عشآن آتكبر گلنآ مخآليق أله ورب
neg	بسب الأحوال الجوية تقر تأخير امتحان المنتصف لمقر الثقافة الإسلامية ليكون الفترة الأولى ال
neg	الفيفا يرد احتجاج الهلال صحيح الفيفا الاهلي
neg	سهران شاطر شاطر والي نايم يحلم فيني توليب
neg	أحب گل مآ فيگ إلا غيآبگ
neg	تلاتين بترقص اليلة رقصتنا بكي دي حلاوة شديدة باخ
neg	يا رب هون بقي
neg	اداء وبعدهاون ناين توتر
neg	الخير
neg	ٲليس العيب تحفظ الأغاني وتكر السورة صلاة
neg	طبيعي تدخل ابعاد كلاتنبرغ وعين جلال يستطيع ويملي مايريدة
neg	واله
neg	حاجه رتويت حقيقي وبشكل يومي لتغريداتك أكثر رتويت لتغريده الواحدة وخلال ساعه
neg	ماكذب واله
neg	ده ليا انتي بقي هتاكلي ايه
neg	طز يا بشير الشعب يحكم رئيسين يومين سودان عظيم
neg	تراه ويكند
neg	ياليتني الحظور اه
neg	السرطان يعرف طريق جميل انشاله هترجع احسن ربنا يشفيك
neg	امطار الشرقيه الهم اغثت الارض اسقي قلبي فرحة تزيل الهموم والأحزان وبشرني بما يسرني يارب
neg	اله يشفيه ويقومه بسلامه ويخف عنهم الوجع ويشفي اختي يا رب ويهون ويشفي مرضى السرطان ويخف عليهم
neg	المزاج خرب
neg	الهم امين
neg	زلزل الملعب نصرنا بيلعب النصر الاتحاد عبدالرزاق حمد اله مباراة الهلال كلمه لتاريخ ماتثق
neg	الوحي تحذير لجماهيرالصفراء سلامتك خير الدنيا ومافيها الطرق المؤدية لملعب مغلقة وغردزه
neg	يا اله
neg	تلاتين بترقص اليلة رقصتنا بكي دي حلاوة شديدة باخ
neg	نزوج ليش مانزوج
neg	يعني عاجبك وضعة الصورة تشوفها شي طبيعي عورتة يارجل ماسترها لهذه
neg	بدا يجن جنونهم الشاب والشابه السعوديون بدوا يدخلوا المجالات حطوا الوضع عنصرية ونكرا
neg	معارض قطرى يكشف الدوحة أعطت حوثى الجنسية القطرية اتوقع بكره يجونا تجار ترا عادي اولاد عم عبدالملك الحو
neg	ياباب الحوائج احسبني بشر الحافي
neg	وش تعلمت الدنياء صاحب الهاشتاق بليد الإملاء
neg	نبي نتابع بصمت خلاص
neg	الناس بدت تستعد لفاينل وتذاكر وانا لي اسابيع اداوم الصباح لساعه ولاسف عندي فاينل الاثنين بديت
neg	القصة مستمرة وأودا مستمر كشف قوى الهاكي أعمق نتوقع هاكي تنبؤ وفاجأنا هاكي تسلح وفاجأنا يبقى ال
neg	فد بجيت كلي اني تبجين السوال ليش تبجين كاتلهم الفضول
neg	رئيسين يومين قالو الربيع العربي نحنا الكتاحه الأفريقية
neg	اسمع كلامك اصدقك اشوف افعالك استغرب الم تنعتوهم بالمجوس وحاصرتم قطر بسب إيران وتحاربون إيران اليمن يا قو
neg	الوضع أمطار قطر صوت المطر
neg	سمعت قصة النبي محمد صلى اله سلم تمنيت عايش بينا
neg	اكثروا الدعاء الشيطان اكثروا دعائكم جمعه شعبان الشيطان
neg	بقعد دقايق أقلب المفاتيح إيدى أنور بالموبايل لحد أجيب المفتاح الصح وأول اوصل لباب تقوم المفاتيح تقع منى
neg	الخير شنو هالكسل ال طفش الجو طفشانه
neg	انتصاب اقوى تحسن القدرة الجنسية تؤخر القذف لفترات مطولة تعز القدرة الجنسية تزيد كمية السائل
neg	يمه واله جرحتهم بس جرحوني يمه واله سمعت بس سمعوا لي يمه واله اهتميت بهم بس أهملوني يمه شلت همه
neg	السلام عليكم ورحمة اله وبركاته متابعيني الكرام عهدتكم فيكم الخير والبركة ادعموا اختكم ذكرى الشريف برتوي
neg	انا جذي اتنرفز حيل
neg	وتاكلين رز
neg	انتقل رحمة اله والد صديقتي اتمنى منكم الدعوات الخالصة الهم اغفر ارحمه واعف
neg	قولوا سورية مخطوفين ومخطوفات سنين وبشار صاحبو ينساهم بطريقو
neg	اغنيه مكملناش تامر عاشور بصوتي
neg	انت السعوديه خساره
neg	يارب جيوتك
neg	واله مدري اشجع فريقي اشجع فريق بابا بالتوفيق لبابا الاتحاد النصر
neg	ماخسرتك ابدا شنو حتاجك مثلا
neg	مدري ليه أعجبني
neg	جاي قليل
neg	ليش تذكرت فديوهات الترسيم
neg	شحالكم كلن بحاله
neg	حبيبي انتي حده واحشتني المرة اليايه ماسامحج مايتي
neg	رايه حلو
neg	اغنيه مكملناش تامر عاشور بصوتي
neg	مرة قرت اكرهك شعرت بأني أحبك أكثر
neg	أمنياتي يا أمي يسكني وجعك وألمك فوجعك كسر قلبي لبان
neg	قبضوا امنجي نقطة تفتيش معاه مسدس قيل مسدسين مافي هجوم حصل حركة بتاعت جري بدون سب خوف المهم الدوشكا ضر
neg	توقعوا هكر لعيب بزيادة بجي
neg	الاهلي الهلال هذي التغريده تحدي روقان واسرع فاز الهلال شاء اله اسرع يوزع قيمة ايفون
neg	سويت لك لايكات رديها لاهنتي
neg	الحياة مواقف تصدمگ مواقف تبكيگ مواقف بحاجة لتجاهلها وتبقى هناگ مواقف تنسى
neg	عم بكتب اسمي بالعربي كبست سبايس بالغلط طلع معي هيك خل كملت مواد حافظة عحالي بدي اتهاضم
neg	لايك وهاتابعك وتابعني عايزين نبقي قوه واحده ايد واحده حب الاهلي اتجمعنا انا بتابع الناس رد الباك وراك قدها يا اهلي
neg	حلمت الاتحاد فاز النصر
neg	منو ساهم إسعادك محدش
neg	يفهم
neg	واله ابطال الشعب العراقي يسوي مثلكم
neg	عفوا نقاط لنصر نقطتين
neg	يقولون تراكنغ ساعات بس
neg	شو عرفك انتي نورملامو تفهمي خسارة بس
neg	البارحة رحنا ابوظبي ورجعنا متأخرين واليوم احس شي بجسمي يوجعني وميتة تعب شلون الاثنين حروح بالباص وارجع بالباص
neg	أسوء أبتلاء أبتلاء التفكير إنك شخص مدمن تفاصيل تحل الكلام تسأل نفسك موقف سؤال عقلك مرهق وأنت تزيد بالتفكير
neg	ليله ستكتب الأقلام ليله ستحصد التاريخ قاتلوا أجلنا قاتلوا الكيان قاتلوا
neg	مغيب شمس أعمارنا يعود الهم ارزقنا حسن الخاتمة واجعل خير أعمالنا خواتيمها واج
neg	ارفقو بقلبي يا جماعه تصورون المطر
neg	تميل قلوبنا لمن يصعب علينا امتلاكه
neg	لأسف الحلو بنستهطر مش بنمسك الفرصة يلا ربنا معهم ويفوقوا كدة
neg	يحاسدني عليش تضوج شايف شنو بصدري مرات ابتسم مجبور واضحگ گثر قهري
neg	رساله لمن فقدته سامحني يا ابي وعدتك ابكي فبكيت
neg	لاحول باله العلي العظيم
neg	طيب ادعيلي
neg	مخي انام
neg	وش يقول اليل وش السالفة البابا يقبل أقدام رئيس جنوب السودان والوفد المرافق
neg	واله باقي تعزمنا
neg	ياربيه يساعدونه بدون ترد وخوف اله يرزقهم سعاده الدارين ويسخر عباده الطيبين يارب
neg	محمد عبده جلسه الرياض حاجه رتويت حقيقي وبشكل يومي لتغريداتك أكثر رتويت لتغريده
neg	معقولة الكلام الكبير يطلع ناصر القصبي مايعرف يجمع كلمتين مقابلة تلفزيونية وتخلص المقابل
neg	ازعل اتوجع اكتئب بس ماتقر تواجه خلي الجبروت يتعلم منك
neg	القلي بالهواء الساخن القلي العادي مهم رمضان تاخذ فكرة الموضوع
neg	ماهو المنهج الوصفي التحليلي
neg	لعب فينا البعوض
neg	ليبيا معارك دائره الخائن حفتر والمجلس الوطني لوفاق السودان ثوره وانقلابات وانشقاقات الجزائر ثوره وعي عشا
neg	احلى شعور تروح مكان ماتعرف بس تعرف يحلي هالمكان ياحبيبي هالوجه
neg	سمحتو ازا مكن غلبة يعني سنسنال فضة فلسطين
neg	قدها يا اهلي الهم ريمونتادا بكره
neg	قسم باله مافي تويتر اكون اه
neg	النوم أذكرك الحلم يجمع مآ فرقته الأيآم
neg	واله كنت بشك نفسي الحمدله طلعت مش لوحدي
neg	أجمل وأهم هدف لنصر بس حظوا إصرار الجميعة خرجت الكرة ضربة زاوية وسرعة التنفيذ ثواني خروج
neg	متأكد مستحيل
neg	أسلى طيفك الين إنتعشتك عشان ماحس بغيابك طول ياجعلها ذمتك ماوحشتك تصميمي
neg	زعيم داعش اليمن يصل سيئون حرم السفير
neg	الايام عاديه هذاك
neg	أتمنى يزوجون برا العائله يخرب النسل حقهم إبداعهم
neg	يعمري كبرنا
neg	وفاة تلو الوفاة الهم كنت القادمة فأحسن خاتمتي وسخر لي يدعو لي مل
neg	انا ماضحكني الرجال مو عارف وين اله حاطه
neg	الناس ماسويتي يبون بدوا يمارسون حيل نفسيه الضرب وتر تأنيب الضمير عندك ماتوقعتك توقعتك
neg	رئيسين يومين قالو الربيع العربي نحنا الكتاحه الأفريقية
neg	حالة الطرق حالة الطرق الصباح السبت حركة مرورية نشطة كافة المفترقات
neg	اوف ليش العنصرية ذي كلهم عيال شهور
neg	الدنيا غرقت امطار برد وانا نايمه
neg	ذكرتيني زرفت سماعة اخواني الصغار وحطيت مناكير يحسبها لي وقعد يدور حقته مايدري
neg	احتاج الوليد طلال يلاعبني زي بنته اغديه يعطيني فلوس وش تعلمت الدنياء
neg	ماجيتك ياتويتر وانا حالتي عال ماجيتك ألاوانا الفين عله
neg	أغار أحب غيرتي تصل لبكاء أحب الإنتظار أفقد أعصابي بسرعه وأكره فكرة إنشغال أحب
neg	بحترم جدآ الناس غلطت تعتذر ومتكبرش تكبر تحيه لحضرتك
neg	اسامة منير بيقربلك يا بلحة
neg	تخافي نفسك رجل يعشق أمه فمن يقدر إمرأه خلق أحشائها يؤذي إمرأه يحبها
neg	انتظرك ولازلت متمسك فيك وغيري لأسف فيك يقهرني
neg	نعيد تاريخهم مره شفت وثائقي لاحظت العلماء عاشو اواخر التشد المسيحي اشلون ابحاثهم واخترا
neg	صاحية النوم والشياطين راكبيتني
neg	ردوا يمه يبه الأصوات أساميهم يتيم ويتيمة كليب ليتامى
neg	ومادراك مابي
neg	منبهره بالشخص حبيته مره اشوفها احس اني مره اشوفها فعلا مبهره مذهله تملائك بالاسئله
neg	محد يحب ادهم نابلسي كثري
neg	السهل تضع يدك فمك كي لآ تكلم آلصعب تضع يدك قلبك
neg	فعلا ناكرات معروف تشتغل ساعه بس وتشرد
neg	الحياة الدنيا حياة تجمع المتناقضات السعادة والشقاء والحزن والفرح والصحة والمرض والنجاح والف
neg	مي تو اشوفه وانا داخلي مقهوره
neg	هام انا زي تينا بالظبط
neg	أحبك بكل أوتيت مرض صوت الحق لدعم كروب الزهور لدعم النرجس لدعم اميره الموسم عراق الخير
neg	نامجون داعس علينا ماكسرنا رقمه
neg	ليبيا معارك دائره الخائن حفتر والمجلس الوطني لوفاق السودان ثوره وانقلابات وانشقاقات الجزائر ثوره وعي عشا
neg	السلام عليكم ورحمة اله وبركاته مسابقه ابوغلا اكتب شي تؤجر الجوائز
neg	يارب أمطر قلوبنا رضا وفرحا ينسيها ماأحزنها ساعه استجابه
neg	اشراقة تغيب الشمس وتشرق شمس العالمي وتنور ليل عشاقه لبى النصر لبى عشاقة الاتحاد النصر
neg	اهم شي شو سوت بالذهب القصيدة كلها
neg	تابعهم مره حلوين
neg	استنى ماتقفلش الحفرة ادفنوها جنبهم التويت كاتباها دي
neg	معقولة الكلام الكبير يطلع ناصر القصبي مايعرف يجمع كلمتين مقابلة تلفزيونية وتخلص المقابل
neg	نفسي الاقي تويتر بتاعها تعبت كتير بدور مكن شير عسا يجمع القلوب وتحد
neg	شاء اله الدعم مستمر لكل الناس لي شارك معان
neg	عجيب العالم كلها تقدم الشكوى
neg	ايه يالباث واله اني حزين وخاطري مكسور
neg	اخيرا حس
neg	السبت الساعة صباحا صاحي هالوقت باله عليكم وش نقدر نسوي
neg	احب العلاقات الرسميه لأني أعرف أرسم
neg	حسبنا اله عليهم واله يسلط عليهم واله يفضحهم الملاء تسبو افساد الكرة لدينا اله يشغلهم انفسهم ويؤذ
neg	قوانين الغاز
neg	الخير
neg	غريب الدار
neg	النصر الاتحاد توقع نتيجة مباراه النصر الاتحاد الجائزه لصاحب التوقع الصحيح شروط المسابقه متابعه
neg	ٲنا ٲغيب ثيرا أسأل اشتاق اخبر بذلك شخصيتي يفهم ولن اضلعي
neg	يقول المثل الموزنبيقي تزوج المرأة تملك قدما أكبر قدمك
neg	احنا متفقين يا أهلي مفيش حاجة بتفرحنا البلد دي غيرك واحنا الحاجة لفرحة واله معاك المرة الحلوة
neg	سر المشاهير بوزن مثالي معنا رشاقتي البدايه الصحيه لجسم سليم وقوام رشيق الدايت حمية كلين
neg	موجب زاير النعيريه ويدور سالب جاد جاد كبير اهم شي جاد تعال الخاص اسرع شي سالب
neg	الهم شت شملهم
neg	واله وحدي ماشفت شي طول اليل العب بعدين نمت وتو قايمه اذاكر عندي خبر بالدنيا
neg	قآل لهآ وآثق بأنك ستنفذين مآ أطلبه منك دوما بلآ نقآش أنآ سي السيد ويحق لي رفعت النآعمة
neg	مافي فض اعتصام توجيه تجمع المهنين يا سودان مافي فض اعتصام توجيه تجمع المهنين يا سودان مافي فض اعتصا
neg	حسبي اله ونعم الوكيل ظلم والظلم ظلمات القيامه مسكي
neg	قوميز لاعب محترم جالس يلاحق حسين عبدالغني واله عقول الطواقي يبغالها فرمتة
neg	الوضع
neg	رجل صاحب نجاحات حاول رجل صاحب قيم
neg	ترا اكرها بس صدق يضحك
neg	اله جدار القلب تشبيه جميل ولاكن الاغشيه يصيبها القرحة فدعي السان الصامت يحكي عما
neg	تلاتين بترقص اليلة رقصتنا بكي دي حلاوة شديدة باخ
neg	نص مشاكلي بسب نبرة صوتي انا اناقش وهم يحسبوني اعلن الحرب مين مثلي
neg	تخيلك فارسها وتخيلها العوبه تضحك تبكي أجلك لاتعرف معنى الحب تستحق البقاء باطن الأرض
neg	واله الهلال قاهرني بس يلا مو مشكله نحط الحره الهدايا
neg	التكست مورنينج الحقيقي الغاء الامتحانات
neg	البعد اله
neg	تاخر الأحلام يجعلنا نكرها يخبرني الصباح
neg	بتقلديني لي
neg	الهلال فارق بنقاط وانا اشوف ملخصات بس الاهلي ماشفتها كاملة طبعا مباراة الن
neg	ليش ماعزمتوني
neg	احتسي قهوتي السوداء قلبي
neg	إحذر يمدحك تذكر دائما الرجل يداعب رأس الحمار ليركبه هكذا بعضهم يتسل
neg	افا هذي اخرتها نرد نشيد الاتحاد طول عمرنا نهايط ونقول الهلال مايهمه وفوق الجميع والحين ندور الفزعة فريق
neg	علمي بهذه القسوة رد لي الصفعة بقوة اضعاف اهلا شهد الصغيرة اهلا بك ابنتي العالم شديد القسوة
neg	اله لاياخذك ماتختار تصور الشاشه وصوتي تعبان
neg	مو عندي
neg	معقولة الكلام الكبير يطلع ناصر القصبي مايعرف يجمع كلمتين مقابلة تلفزيونية وتخلص المقابل
neg	الدعوه مخامط شنو اطلعي لي المحول
